MATCH    @ [          0][          0]: spike=0, residue=28
MATCH    @ [          0][          1]: spike=1, residue=1
MATCH    @ [          0][          2]: spike=0, residue=31
MATCH    @ [          0][          3]: spike=1, residue=1
MATCH    @ [          0][          4]: spike=1, residue=7
MATCH    @ [          0][          5]: spike=0, residue=32
MATCH    @ [          0][          6]: spike=0, residue=31
MATCH    @ [          0][          7]: spike=1, residue=2
MATCH    @ [          0][          8]: spike=0, residue=23
MATCH    @ [          0][          9]: spike=0, residue=21
MATCH    @ [          0][         10]: spike=0, residue=22
MATCH    @ [          0][         11]: spike=0, residue=16
MATCH    @ [          0][         12]: spike=0, residue=22
MATCH    @ [          0][         13]: spike=0, residue=30
MATCH    @ [          0][         14]: spike=0, residue=32
MATCH    @ [          0][         15]: spike=1, residue=6
MATCH    @ [          0][         16]: spike=1, residue=2
MATCH    @ [          0][         17]: spike=1, residue=4
MATCH    @ [          0][         18]: spike=1, residue=12
MATCH    @ [          0][         19]: spike=1, residue=8
MATCH    @ [          0][         20]: spike=1, residue=16
MATCH    @ [          1][          0]: spike=1, residue=15
MATCH    @ [          1][          1]: spike=1, residue=9
MATCH    @ [          1][          2]: spike=1, residue=9
MATCH    @ [          1][          3]: spike=0, residue=32
MATCH    @ [          1][          4]: spike=0, residue=26
MATCH    @ [          1][          5]: spike=0, residue=29
MATCH    @ [          1][          6]: spike=0, residue=21
MATCH    @ [          1][          7]: spike=0, residue=19
MATCH    @ [          1][          8]: spike=0, residue=21
MATCH    @ [          1][          9]: spike=0, residue=22
MATCH    @ [          1][         10]: spike=0, residue=28
MATCH    @ [          1][         11]: spike=0, residue=24
MATCH    @ [          1][         12]: spike=0, residue=25
MATCH    @ [          1][         13]: spike=0, residue=31
MATCH    @ [          1][         14]: spike=0, residue=25
MATCH    @ [          1][         15]: spike=0, residue=30
MATCH    @ [          1][         16]: spike=1, residue=11
MATCH    @ [          1][         17]: spike=1, residue=6
MATCH    @ [          1][         18]: spike=1, residue=7
MATCH    @ [          1][         19]: spike=1, residue=12
MATCH    @ [          1][         20]: spike=1, residue=8
MATCH    @ [          2][          0]: spike=1, residue=19
MATCH    @ [          2][          1]: spike=1, residue=4
MATCH    @ [          2][          2]: spike=1, residue=9
